City,All Offense Types,Crimes Against Person,Murder and Nonnegligent Manslaughter,Negligent Manslaughter,Justifiable Homicide,Kidnapping/Abduction,All Rape,Rape,Sodomy,Sexual Assault With An Object,Criminal Sexual Contact,Incest,Statutory Rape,Aggravated Assault,Simple Assault,Intimidation,"Human Trafficking, Commercial Sex Acts","Human Trafficking, Involuntary Servitude",Crimes Against Property,Arson,Bribery,Burglary/Breaking & Entering,Counterfeiting/Forgery,Destruction/Damage/Vandalism of Property,Embezzlement,Extortion/Blackmail,False Pretenses/Swindle/Confidence Game,Credit Card/Automatic Teller Fraud,Impersonation,Welfare Fraud,Wire Fraud,Identity Theft,Hacking/Computer Invasion,Robbery,Pocket-picking,Purse-snatching,Shoplifting,Theft From Building,Theft From Coin Operated Machine or Device,Theft From Motor Vehicle,Theft of Motor Vehicle Parts/Accessories,All Other Larceny,Motor Vehicle Theft,Stolen Property Offenses,Crimes Against Society,Drug/Narcotic Violations,Drug Equipment Violations,Betting/Wagering,Operating/Promoting/Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Pornography/Obscene Material,Prostitution,Assisting or Promoting Prostitution,Purchasing Prostitution,Weapon Law Violations,Animal Cruelty,Missing,Unnamed: 59,Year
Duxbury,190,49,,,,,5.0,5.0,,,3.0,,1.0,14,16,10,,,134,,,6,2.0,28,,2.0,30,8.0,19.0,,1.0,,1.0,,,,1,2,,2,,30,,2.0,7,3,,,,,,1.0,,,,2.0,1.0,,,2024
East Bridgewater,209,71,,,,,1.0,1.0,,,,,5.0,17,28,20,,,114,1.0,,4,1.0,21,,2.0,25,,27.0,,,,,,,,2,5,,2,,15,8,1.0,24,10,,,,,,6.0,,,,8.0,,,,2024
Halifax,170,48,,,,,2.0,2.0,,,1.0,,,4,17,24,,,120,,,5,,20,,1.0,6,,31.0,,,,,,,,38,1,,5,,13,,,2,2,,,,,,,,,,,,,,2024
Hanover,296,53,,,,,,,,,2.0,,,14,29,8,,,232,,,8,4.0,21,,,18,4.0,22.0,,2.0,1.0,,2.0,1.0,,36,10,,5,2.0,81,8,7.0,11,5,,,,,,2.0,,,,4.0,,,,2024
Hanson,148,63,,,,,3.0,3.0,,,5.0,,,10,30,15,,,72,1.0,,5,2.0,21,,,16,,9.0,,,,,,,,1,,,1,,13,2,1.0,13,6,,,,,,3.0,,,,4.0,,,,2024
Hingham,445,84,,,,,1.0,,1.0,,,,1.0,30,34,16,2.0,,343,,,19,4.0,34,,3.0,32,7.0,50.0,,,,,,2.0,3.0,60,30,,6,,81,6,6.0,18,7,,,,,,3.0,,,,8.0,,,,2024
Hull,241,68,,,,,3.0,2.0,1.0,,,,2.0,24,29,10,,,165,,,4,,61,,1.0,27,4.0,22.0,,,,,,1.0,1.0,9,8,,1,,23,1,2.0,8,4,,,,,,1.0,,,,3.0,,,,2024
Kingston,334,100,,,,,4.0,4.0,,,1.0,,5.0,26,43,21,,,223,2.0,,13,1.0,64,,,25,1.0,21.0,,,,,1.0,,,23,5,,6,3.0,44,9,5.0,11,5,,,,,,3.0,,,,3.0,,,,2024
Lakeville,164,47,,1.0,,,2.0,2.0,,,2.0,,1.0,20,20,1,,,109,,,10,,15,,,,,,,,18.0,,1.0,,,2,1,,6,,47,9,,8,6,,,,,,,,,,2.0,,,,2024
Marion,120,26,,,,,,,,,,,,1,17,8,,,90,,,2,,25,,,13,,16.0,,,1.0,,,,,1,2,,,,25,2,3.0,4,2,,,,,,1.0,,,,1.0,,,,2024
Marshfield,179,70,1.0,,,,6.0,,6.0,,,,1.0,31,19,12,,,98,2.0,,9,2.0,25,1.0,,17,1.0,,,,,,,,,2,5,,5,,24,5,,11,9,,,,,,,,,,2.0,,,,2024
Massasoit Community College,12,5,,,,,,,,,,,,,4,1,,,7,,,,,6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2024
Mattapoisett,86,13,,,,,,,,,1.0,1.0,,4,5,2,,,69,,,1,1.0,11,,,14,,6.0,,,,,,5.0,2.0,1,5,,2,,15,5,1.0,4,2,,,,,,1.0,,,,1.0,,,,2024
MBTA - Plymouth County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Middleborough,773,293,,,,1.0,10.0,7.0,3.0,,9.0,,3.0,94,145,31,,,433,,,23,15.0,93,2.0,5.0,50,8.0,76.0,,,1.0,,4.0,2.0,1.0,11,33,,9,,65,27,8.0,47,27,,,,,,9.0,,,,11.0,,,,2024
Norwell,129,19,,,,,,,,,,,,4,13,2,,,106,,,6,3.0,16,,1.0,9,2.0,15.0,,,3.0,,2.0,,1.0,16,3,,2,,24,3,,4,1,,,,,,1.0,,,,2.0,,,,2024
Pembroke,223,50,,,,,6.0,6.0,,,1.0,,,10,18,15,,,159,,,8,6.0,23,1.0,3.0,21,3.0,27.0,,,3.0,,1.0,,,10,10,,2,,29,11,1.0,14,8,1.0,,,,,,,,,5.0,,,,2024
Plymouth,"1,948",787,2.0,,,1.0,15.0,14.0,1.0,,25.0,4.0,6.0,196,374,164,,,"1,051",3.0,,45,19.0,225,2.0,7.0,115,18.0,126.0,,5.0,10.0,,7.0,,,120,5,,39,2.0,245,40,18.0,110,60,,,,,,19.0,,,,30.0,1.0,,,2024
Plymouth State Police,206,49,,,,,,,,,,,,24,25,,,,5,,,,1.0,2,,,,,,,,,,1.0,,,,,,,,1,,,152,111,2.0,,,,,1.0,1.0,,,37.0,,,,2024
Plymouth State Police Middleboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Plympton,70,22,,,,,,,,,1.0,,,7,11,3,,,44,,,3,1.0,8,,2.0,6,1.0,9.0,,,,,,,,1,,,1,,12,,,4,1,1.0,,,,,1.0,,,,1.0,,,,2024
Rochester,72,23,,,,,,,,,3.0,,,3,12,5,,,43,,,9,1.0,7,,1.0,5,2.0,3.0,,,,,,,,1,,,,,7,3,4.0,6,1,,,,,,,,,,4.0,1.0,,,2024
Rockland,323,183,,,,5.0,8.0,7.0,1.0,,,,1.0,38,102,29,,,124,,,5,,24,3.0,1.0,8,1.0,3.0,,,,,1.0,,,6,1,,5,,40,21,5.0,16,7,,,,,,3.0,,,,6.0,,,,2024
Scituate,139,37,,,,,,,,,,,2.0,7,18,10,,,97,,,6,,15,,,17,,,,,37.0,,1.0,1.0,,2,2,,2,,9,2,3.0,5,5,,,,,,,,,,,,,,2024
Wareham,721,254,,,,2.0,5.0,3.0,2.0,,4.0,,4.0,64,151,24,,,436,,,41,12.0,95,,2.0,34,4.0,3.0,,1.0,17.0,2.0,,2.0,4.0,99,7,,3,1.0,81,23,5.0,31,17,,,,,,2.0,,,,11.0,1.0,,,2024
West Bridgewater,184,36,,,,,1.0,1.0,,,,,1.0,9,16,9,,,143,1.0,,8,6.0,16,,,15,4.0,16.0,,,,,1.0,,,16,2,,6,,34,12,6.0,5,2,,,,,,,,,,3.0,,,,2024
Whitman,405,130,,,,,6.0,3.0,3.0,,1.0,,1.0,34,71,17,,,257,,,18,8.0,47,1.0,2.0,25,4.0,21.0,5.0,1.0,1.0,,6.0,1.0,2.0,21,11,,34,,28,11,10.0,18,8,,,,,,5.0,,,,5.0,,,,2024
Berklee College of Music,188,39,,,,,1.0,1.0,,,1.0,,,1,23,13,,,147,,,9,,25,,1.0,8,1.0,,,,,,2.0,,,,9,,3,,85,1,3.0,2,2,,,,,,,,,,,,,,2024
Beth Israel Deaconess Med Ctr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Boston,"42,557","16,284",25.0,1.0,,51.0,170.0,125.0,37.0,16.0,200.0,,7.0,"3,127","7,477","5,218",8.0,,"23,137",20.0,1.0,"1,186",414.0,"4,299",57.0,166.0,"1,374",869.0,106.0,37.0,335.0,771.0,56.0,835.0,90.0,13.0,"3,948","2,127",2.0,"2,183",283.0,"2,601","1,049",315.0,"3,136","2,416",18.0,,,,,135.0,28.0,2.0,,495.0,42.0,,,2024
Boston College(Old ORI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Boston University,620,52,,,,,5.0,5.0,,,6.0,,,4,32,5,,,563,,,13,,79,,5.0,30,4.0,1.0,,3.0,,,1.0,2.0,,13,322,,5,,81,2,2.0,5,4,,,,,,,,,,1.0,,,,2024
Bunker Hill Community College,12,2,,,,,,,,,,,,,2,,,,10,,,,,,,,1,,,,,,,,,,,1,,,,8,,,,,,,,,,,,,,,,,,2024
"Capitol PD, Boston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Chelsea,"2,446","1,134",2.0,,,6.0,33.0,24.0,9.0,,14.0,,41.0,296,548,193,1.0,,"1,198",3.0,,60,31.0,371,2.0,2.0,95,10.0,52.0,,1.0,2.0,,47.0,6.0,11.0,96,132,,74,24.0,103,52,24.0,114,45,,,,,,7.0,2.0,,,60.0,,,,2024
Emerson College,9,,,,,,,,,,,,,,,,,,9,,,1,,7,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2024
Emerson College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Environmental Police,84,16,,2.0,,,1.0,,1.0,,,,1.0,3,1,8,,,41,2.0,1.0,2,,16,,,1,,,,,,,,,,,,,1,,7,6,5.0,27,4,,,,,,,,,,23.0,,,,2024
Fisher College,11,6,,,,,,,,,2.0,,,,4,,,,5,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Fisher College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Mass College of Art,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2024
Mass General Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
MBTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
MBTA - Suffolk County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
MCPHS University,14,4,,,,,,,,,,,,,4,,,,9,,,1,,,,1.0,1,1.0,,,,,,,,,1,,,,,4,,,1,1,,,,,,,,,,,,,,2024
Northeastern U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Northeastern University,461,33,,,,1.0,2.0,2.0,,,3.0,,,1,26,,,,422,,,5,,8,,,2,,,,,,,2.0,,,89,115,,1,,198,2,,6,5,,,,,,,,,,1.0,,,,2024
Revere,"2,347",769,,,,5.0,14.0,13.0,1.0,,20.0,,2.0,232,351,144,1.0,,"1,472",3.0,,93,26.0,274,1.0,4.0,93,9.0,113.0,,5.0,2.0,,16.0,,,233,14,,62,3.0,403,94,24.0,106,66,1.0,,6.0,,,3.0,1.0,1.0,,28.0,,,,2024
Roxbury Community College,32,3,,,,,,,,,,,,1,2,,,,29,,,3,,8,,,,,,,,,,1.0,,,,11,,2,,4,,,,,,,,,,,,,,,,,,2024
Simmons University,24,3,,,,,,,,,,,,,3,,,,20,,,12,,3,,,1,,,,,,,,,,,,,,,4,,,1,,1.0,,,,,,,,,,,,,2024
Suffolk State Police,400,118,,,,3.0,1.0,1.0,,,1.0,,,26,81,6,,,70,,,3,15.0,20,,,,2.0,1.0,,,5.0,,,,,6,3,,1,,12,2,,212,117,1.0,,1.0,,,2.0,,,1.0,89.0,1.0,,,2024
Suffolk State Police Framingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Suffolk State Police Logan Airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Suffolk State Police Weston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Tufts University Suffolk,12,1,,,,,,,,,1.0,,,,,,,,11,,,,,1,,,1,,,,,,,,,,,2,,,,7,,,,,,,,,,,,,,,,,,2024
Tufts University Suffolk prior to 01/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
U-Mass Boston,66,14,,,,,,,,,,,,,10,4,,,52,,,3,,21,,,3,,,,,,,,,,,11,,,,13,,1.0,,,,,,,,,,,,,,,,2024
Wentworth Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Wentworth Institute of Technology,67,9,,,,,,,,,,,,1,7,1,,,56,,,1,,2,1.0,3.0,,3.0,,,,,,,,,,3,,,,40,3,,2,,,,,,,,,,,2.0,,,,2024
Winthrop,369,110,,,,1.0,5.0,5.0,,,5.0,,,24,49,26,,,246,,,14,19.0,54,,3.0,18,5.0,41.0,,,,,,,,2,2,,8,3.0,63,6,8.0,13,10,,,,,,1.0,,,,2.0,,,,2024
Ashburnham,101,45,,,,1.0,3.0,2.0,1.0,,3.0,1.0,2.0,4,25,5,,1.0,45,,,6,,14,,,5,,,,,,,,1.0,,,,,1,,12,4,2.0,11,5,,,,,,1.0,,,,5.0,,,,2024
Assumption College,39,8,,,,1.0,1.0,1.0,,,2.0,,,1,2,1,,,29,,,5,1.0,9,,,1,,,,,,,,,,,3,,,,10,,,2,,,,,,,,,,,2.0,,,,2024
Assumption College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Athol,358,140,,,,1.0,7.0,4.0,3.0,,,,9.0,48,58,17,,,178,1.0,,13,,51,,1.0,11,1.0,12.0,,,,,,1.0,3.0,14,17,,12,,40,1,,40,20,,,,,,6.0,,,,13.0,1.0,,,2024
Auburn,610,141,,,,,5.0,5.0,,,2.0,,1.0,61,58,14,,,411,1.0,,24,19.0,52,2.0,2.0,37,9.0,52.0,1.0,2.0,,,5.0,,,74,1,,12,,76,19,23.0,58,36,,,,,,9.0,3.0,,,10.0,,,,2024
Barre,101,41,,,,,5.0,4.0,1.0,,,1.0,,13,15,7,,,54,,,5,2.0,6,,,8,,9.0,,,,,,,,7,4,,1,,9,1,2.0,6,3,,,,,,2.0,,,,1.0,,,,2024
Becker College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Berlin,37,5,,,,,1.0,,1.0,,,,,1,1,2,,,31,,,1,,4,,,1,,2.0,,,,,1.0,,,3,1,,,,15,3,,1,1,,,,,,,,,,,,,,2024
Blackstone,87,33,,,,,,,,,,,,11,14,8,,,41,,,2,,17,,,4,,2.0,,,,,,,,1,2,,6,1.0,3,3,,13,9,,,,,,,1.0,,,3.0,,,,2024
Bolton,104,25,,,,2.0,1.0,1.0,,,,,2.0,9,8,3,,,74,,,5,1.0,17,,1.0,10,2.0,19.0,,1.0,,1.0,,,,1,3,,,,11,1,1.0,5,2,,,,,,1.0,,,,2.0,,,,2024
Boylston,49,19,,,,1.0,,,,,,,,8,7,3,,,15,,,3,1.0,2,,,,,1.0,,,,,1.0,,,1,1,,,,4,1,,15,11,,,,,,,,,,4.0,,,,2024
Brookfield,60,21,,,,,1.0,,1.0,,,2.0,2.0,5,8,3,,,38,,,1,3.0,12,8.0,,5,,4.0,,,1.0,,,,,1,,,1,,1,1,,1,,,,,,,,,,,1.0,,,,2024
Charlton,201,69,,,,,2.0,2.0,,,,,4.0,14,36,13,,,113,,,8,3.0,25,,,18,,14.0,,,,,,,,4,7,,3,,20,8,3.0,19,7,1.0,,,,,6.0,,,,4.0,1.0,,,2024
Clark University,46,4,,,,,2.0,2.0,,,,,,,2,,,,41,,,1,,18,,,2,1.0,2.0,,,,,,,,,3,,,,14,,,1,1,,,,,,,,,,,,,,2024
Clark University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Clinton,59,36,,,,1.0,,,,,,,,7,26,2,,,18,,,3,1.0,3,,,,1.0,,,,,,,,,3,2,,,1.0,1,2,1.0,5,3,1.0,,,,,,,,,1.0,,,,2024
Col of the Holy Cross,44,14,,,,,1.0,1.0,,,2.0,,,,4,7,,,30,,,2,,4,,3.0,5,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,2024
Douglas,105,44,,,,1.0,4.0,3.0,1.0,,1.0,,1.0,12,21,4,,,50,,,4,1.0,7,,,5,3.0,11.0,,,,,,,,,1,,3,,12,2,1.0,11,4,,,,,,1.0,,,,6.0,,,,2024
Dudley,132,76,,,,1.0,3.0,3.0,,,,,1.0,13,50,8,,,40,1.0,,7,1.0,15,,,1,,2.0,,,1.0,,1.0,,,4,2,,1,,4,,,16,12,,,,,,,,,,4.0,,,,2024
East Brookfield,63,18,,,,,1.0,1.0,,,,,,6,4,7,,,42,2.0,,3,1.0,20,3.0,,4,,2.0,,,1.0,,1.0,,,,1,,,,2,1,1.0,3,,,,,,,,,,,3.0,,,,2024
Fitchburg,"2,068",717,1.0,,,2.0,17.0,16.0,1.0,,22.0,,6.0,174,451,44,,,"1,249",7.0,,116,8.0,456,5.0,5.0,55,5.0,59.0,,,,,15.0,1.0,1.0,52,33,,142,8.0,199,53,29.0,102,42,,,2.0,,,8.0,,,,49.0,1.0,,,2024
Fitchburg SC,59,9,,,,,,,,,,,,,4,5,,,50,,,3,,28,,,2,,,,,,,,,,3,,,7,,7,,,,,,,,,,,,,,,,,,2024
Fitchburg State College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Gardner,563,197,,,,3.0,6.0,6.0,,,10.0,,7.0,63,75,33,,,323,3.0,,19,8.0,86,2.0,,33,4.0,49.0,,,2.0,,1.0,,,32,7,,7,,55,12,3.0,43,28,,,,,,4.0,,,,11.0,,,,2024
Grafton,209,69,,,,1.0,1.0,1.0,,,6.0,,1.0,13,29,18,,,125,1.0,,7,1.0,25,1.0,3.0,10,2.0,34.0,,1.0,6.0,,,,,2,1,,5,,17,4,5.0,15,5,,,,,,2.0,,,,8.0,,,,2024
Hardwick,48,20,,,,,1.0,1.0,,,1.0,,1.0,5,7,5,,,27,,,3,2.0,6,7.0,,1,,4.0,,,,,,,,,2,,,,,2,,1,,,,,,,1.0,,,,,,,,2024
Harvard,54,8,,,,,2.0,,1.0,1.0,1.0,,,2,1,2,,,43,,,1,1.0,8,,,10,2.0,10.0,,,,,,,,,3,,1,,7,,,3,1,,,,,,,,,,2.0,,,,2024
Holden,174,39,,,,,6.0,6.0,,,2.0,,2.0,5,22,2,,,116,,,5,3.0,20,,,12,1.0,20.0,,,4.0,,,,,6,4,,2,1.0,28,8,2.0,19,11,,,,,,3.0,,,,5.0,,,,2024
Hopedale,85,28,,,,,1.0,1.0,,,,,2.0,3,11,11,,,44,,,3,1.0,6,,,8,1.0,10.0,,,1.0,,,,,1,3,,1,,6,2,1.0,13,8,,,,,,2.0,1.0,1.0,,1.0,,,,2024
Hubbardston,58,28,,,,,,,,,,,,2,22,4,,,25,,,3,,11,,,1,,2.0,,,,,1.0,1.0,,,1,,,,3,2,,5,2,1.0,,,,,,,,,2.0,,,,2024
Lancaster,200,53,,,,1.0,1.0,1.0,,,3.0,,1.0,12,22,13,,,139,,,19,2.0,38,1.0,,20,1.0,17.0,,,,,,1.0,,2,4,,1,,25,7,1.0,8,2,,,,,,4.0,,,,2.0,,,,2024
Leicester,320,95,,,,1.0,3.0,2.0,1.0,,3.0,,5.0,31,37,15,,,164,1.0,,9,2.0,31,,,29,3.0,14.0,,,1.0,,1.0,1.0,,33,10,,1,,20,7,1.0,61,42,1.0,,,,,5.0,2.0,,,11.0,,,,2024
Leominster,"1,950",798,2.0,,,6.0,18.0,13.0,5.0,,4.0,1.0,5.0,188,424,150,,,"1,066",5.0,,54,17.0,189,4.0,6.0,112,9.0,93.0,,,1.0,1.0,15.0,3.0,1.0,217,32,,61,2.0,184,53,7.0,86,46,1.0,,6.0,,,9.0,2.0,2.0,,20.0,,,,2024
Lunenburg,269,50,,,,,4.0,3.0,1.0,,,,1.0,9,26,9,1.0,,210,,,12,8.0,27,1.0,1.0,29,2.0,13.0,,2.0,,,,,,67,5,,5,2.0,29,6,1.0,9,4,,,,,,4.0,,,,1.0,,,,2024
MBTA - Worcester County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Mendon,109,24,,,,,,,,,,,,8,11,5,,,78,,,6,11.0,25,,2.0,1,,,,,7.0,,,,,2,3,,,,11,3,7.0,7,3,,,,,,2.0,,,,2.0,,,,2024
Milford,960,335,1.0,,,3.0,17.0,14.0,3.0,,1.0,7.0,18.0,66,181,40,1.0,,562,2.0,,24,29.0,95,1.0,4.0,58,7.0,38.0,,,3.0,,5.0,,1.0,111,13,,35,2.0,100,19,15.0,63,40,1.0,,,,,13.0,,,,8.0,1.0,,,2024
Millbury,507,94,,,,,4.0,2.0,2.0,,,,,19,50,21,,,383,1.0,,6,8.0,33,,1.0,41,5.0,34.0,,,3.0,,,,,146,3,,3,,61,12,26.0,30,23,,,,,,4.0,,,,3.0,,,,2024
Millville,14,6,,,,,1.0,1.0,,,,,,,5,,,,7,,,2,,3,,,,,,,,,,,,,,,,,,2,,,1,1,,,,,,,,,,,,,,2024
Mount Wachusett CC,6,3,,,,,,,,,,,,,3,,,,3,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1,,,,,,,,,,,,,,,,,,2024
New Braintree,10,3,,,,,,,,,,,1.0,1,1,,,,7,,,,,2,,,2,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
North Brookfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Northborough,221,5,,,,,,,,,,,,4,1,,,,205,,,2,15.0,2,,,15,12.0,8.0,7.0,10.0,53.0,3.0,,,,68,,,1,,9,,,11,4,,,,,,,,,,6.0,1.0,,,2024
Northbridge,248,64,,,,,2.0,1.0,1.0,,3.0,1.0,3.0,9,38,8,,,156,1.0,,10,5.0,48,,1.0,21,1.0,15.0,,,1.0,,1.0,,,4,1,,4,,38,4,1.0,28,16,,,,,,6.0,,,,6.0,,,,2024
Oakham,29,8,,,,2.0,,,,,,,,3,1,2,,,20,,,1,,6,,,3,,6.0,,,,,,,,,2,,1,,1,,,1,,,,,,,,,,,1.0,,,,2024
Oxford,270,91,,,,,5.0,2.0,3.0,,2.0,,4.0,26,46,8,,,157,,,9,2.0,42,,,18,1.0,4.0,,,1.0,,2.0,1.0,1.0,32,11,,2,,20,8,3.0,22,12,,,,,,8.0,,,,2.0,,,,2024
Paxton,59,17,,,,,,,,,1.0,,,3,8,5,,,32,,,5,,4,,,2,1.0,4.0,,,2.0,,,,,,,,1,,11,2,,10,8,,,,,,,,,,2.0,,,,2024
Petersham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Phillipston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Princeton,45,6,,,,1.0,,,,,,,,2,3,,,,39,,,6,,8,,,3,2.0,10.0,,,,,,,,1,,,,,6,1,2.0,,,,,,,,,,,,,,,,2024
Quinsigamond CC,14,,,,,,,,,,,,,,,,,,14,,,,1.0,8,,,,,1.0,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,2024
Royalston,6,2,,,,,,,,,,,,2,,,,,4,,,,,2,,,1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Rutland,156,52,,,,,2.0,2.0,,,,,,8,28,14,,,94,,,3,,31,,3.0,8,3.0,19.0,,1.0,5.0,,,,,,2,,,,15,3,1.0,10,5,,,,,,2.0,,,,3.0,,,,2024
Shrewsbury,519,81,,,,,1.0,1.0,,,,,,10,68,2,,,380,,,20,8.0,22,,,,1.0,,,,88.0,,1.0,,,59,9,,10,2.0,152,8,,58,54,,,,,,,,,,4.0,,,,2024
Southborough,77,15,,,,,3.0,3.0,,,1.0,,,3,6,2,,,56,,,2,2.0,14,,,7,,8.0,,,,,,,,,1,,,2.0,18,1,1.0,6,2,,,,,,,,,,4.0,,,,2024
Southbridge,614,232,,,,2.0,12.0,10.0,2.0,,,3.0,6.0,52,114,43,,,311,1.0,,17,6.0,104,,2.0,26,2.0,35.0,,,2.0,,3.0,,,21,9,,1,3.0,48,24,7.0,71,49,,,,,,1.0,,,1.0,19.0,1.0,,,2024
Spencer,153,26,,,,,,,,,1.0,,,10,15,,,,118,,,3,6.0,15,,,2,2.0,5.0,15.0,36.0,2.0,,,,,2,2,,1,,17,9,1.0,9,7,1.0,,,,,,,,,,1.0,,,2024
Sterling,105,31,,,,2.0,2.0,2.0,,,,,1.0,6,14,6,,,72,1.0,,5,1.0,9,,,13,5.0,19.0,,,,,,,,,3,,2,2.0,12,,,2,1,,,,,,,,,,,1.0,,,2024
Sturbridge,294,82,,,,,5.0,5.0,,,11.0,,4.0,15,26,21,,,169,,,7,11.0,23,1.0,,16,4.0,14.0,,,,,2.0,,,17,3,,4,,55,5,7.0,43,29,,,,,,8.0,,,,6.0,,,,2024
Sutton,216,56,,,,,2.0,1.0,1.0,,,,2.0,9,23,20,,,123,,,8,11.0,19,,1.0,16,2.0,29.0,,,2.0,,1.0,2.0,,4,7,,,,13,1,7.0,37,26,,,,,,2.0,2.0,1.0,,6.0,,,,2024
Templeton,88,31,,,,,1.0,1.0,,,2.0,,,9,14,5,,,53,,,6,1.0,12,,,3,,10.0,,,,,,,,1,2,,1,,8,9,,4,2,,,,,,,,,,1.0,1.0,,,2024
Tufts University Worcester,5,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,,,,,,,,1,,2,1,,,,,,,,,,,,,,,,,2024
Tufts University Worcester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
U-Mass Worcester,493,376,,,,1.0,4.0,1.0,3.0,,,,,11,338,22,,,69,1.0,,2,,29,,,2,,1.0,,,,,,,,,13,,2,,19,,,48,22,1.0,,,,,,,,,25.0,,,,2024
U-Mass Worcester MA014UM00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Upton,89,32,,,,,,,,,,,1.0,3,18,10,,,53,,,2,2.0,10,,1.0,5,,23.0,,,,,,,,,1,,2,1.0,2,3,1.0,4,2,,,,,,2.0,,,,,,,,2024
Uxbridge,205,56,,,,,1.0,1.0,,,2.0,,2.0,15,17,19,,,133,1.0,,9,2.0,35,2.0,,19,3.0,14.0,,,,,,,,11,2,,2,,25,7,1.0,16,6,,,,,,2.0,,,,8.0,,,,2024
Warren,93,30,,,,,2.0,2.0,,,,,1.0,9,9,9,,,49,,,2,4.0,10,,1.0,4,1.0,6.0,,,1.0,,,,,4,2,,,,11,2,1.0,14,11,,,,,,1.0,,,,2.0,,,,2024
Webster,758,376,,,,1.0,11.0,6.0,5.0,,11.0,,10.0,101,218,24,,,328,2.0,,21,4.0,98,1.0,1.0,21,5.0,34.0,,,4.0,1.0,3.0,3.0,2.0,18,13,,14,,61,19,3.0,54,46,,,,,,,,,,8.0,,,,2024
